Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
42,Scrypt,PoW/PoS,41.99995383,42.0,-0.33106787259136583,0.9267668544872479,-0.6089618175413237,0,42 Coin
404,Scrypt,PoW/PoS,1055184902.04,532000000.0,-0.31438871526301804,0.927030379288118,-0.6092936431107381,0,404Coin
1337,X13,PoW/PoS,29279424622.5027,314159265359.0,2.318096590676062,1.5452706021923701,-0.7319816523058114,0,EliteCoin
BTC,SHA-256,PoW,17927175.0,21000000.0,-0.14261933737009766,-1.3033395720626424,0.16002339245158595,3,Bitcoin
ETH,Ethash,PoW,107684222.6865,0.0,-0.15204039057749968,-1.9351750398327152,0.3297616849547085,3,Ethereum
LTC,Scrypt,PoW,63039243.3000049,84000000.0,-0.16831512082451328,-1.1364575926525389,-0.014768103696480883,3,Litecoin
DASH,X11,PoW/PoS,9031294.37563393,22000000.0,-0.3800917125964707,1.1433168671596838,-0.5842818817842351,0,Dash
XMR,CryptoNight-V7,PoW,17201143.1449131,0.0,-0.15553820317199607,-2.1867143334088803,0.3795875838097907,3,Monero
ETC,Ethash,PoW,113359703.0,210000000.0,-0.15048134741105804,-1.9352687098980754,0.3297462129855965,3,Ethereum Classic
ZEC,Equihash,PoW,7383056.25,21000000.0,-0.15615443825120773,-2.064357622644721,0.49038208716133946,3,ZCash
BTS,SHA-512,PoS,2741570000.0,3600570502.0,-0.33281847226611205,2.3198012983966234,0.2465955567524002,0,Bitshares
DGB,Multiple,PoW,11406219141.0,21000000000.0,0.15846846310950571,-1.7638676291520512,0.3490096394501717,3,DigiByte
BTCD,SHA-256,PoW/PoS,1288862.0,22000000.0,-0.3042016385605148,0.7598681831135856,-0.43418898389913396,0,BitcoinDark
XPY,SHA-256,PoS,11995334.8847328,12500000.0,-0.26872899407296486,0.734921865656393,-0.03504742410291798,0,PayCoin
PRC,Scrypt,PoW,5768310.0,21000000.0,-0.16946246130192597,-1.1364562303442842,-0.014747838705607256,3,ProsperCoin
KOBO,X15,PoW/PoS,25542535.5881841,350000000.0,-0.24151855246259163,1.6724908106599985,-0.6983945569235498,0,KoboCoin
SPR,X11,PoW,11149733.9976203,20000000.0,-0.2186940900767042,-0.9198974157312771,0.009934643004522008,3,Spreadcoin
ARG,Scrypt,PoW,12205795.4449549,64000000.0,-0.16907870836406463,-1.1364728719716184,-0.014752489979521055,3,Argentum
AUR,Scrypt,PoW/PoS,18135099.992959,16768584.0,-0.33072712471266663,0.9267678831910555,-0.6089680243583568,0,Aurora Coin
BLU,Scrypt,PoW/PoS,635423900.0,0.0,-0.32329632635285227,0.9270726118974771,-0.6091404712515556,0,BlueCoin
XMY,Multiple,PoW,1688254250.0,2000000000.0,-0.09516301030069267,-1.7598217848508992,0.3529973829691596,3,MyriadCoin
MOON,Scrypt,PoW,88.0,384000000000.0,2.554211511023237,-1.312725534871976,-0.040118579167799755,3,MoonCoin
ZET,SHA-256,PoW,170204389.754849,169795588.0,-0.13970143465497273,-1.3033346033107287,0.15997074664676442,3,ZetaCoin
SXC,Scrypt,PoW,128940951.183046,250000000.0,-0.16633159404676484,-1.1365020843583815,-0.014797601267752388,3,SexCoin
QTL,Scrypt,PoW,7357794.7925,100000000.0,-0.16888263678413798,-1.1364917306549982,-0.014753505720415776,3,Quatloo
ENRG,Scrypt,PoW/PoS,123062801.128773,0.0,-0.32956275477414343,0.9268260706465566,-0.6089964174651533,0,EnergyCoin
QRK,Quark,PoW,259557164.91477,247000000.0,-0.22552726786793117,-0.37625022587611917,0.07907701670476097,3,QuarkCoin
