Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
LTB,Scrypt,PoW,1104344.22938102,1350000.0,-0.18127819041039508,-1.0197653524382029,-0.027526801222952327,3,Litebar 
MAX,SHA3,PoW/PoS,61445805.0,100000000.0,-0.2947254857195807,1.9944265906325271,-0.6932555299844407,0,MaxCoin
MEC,Scrypt,PoW,38151999.9930997,42000000.0,-0.1805358066604929,-1.0197950110983498,-0.027541610726863286,3,MegaCoin
MED,HybridScryptHash256,PoW,40431856.9,200000000.0,-0.1675342017830392,-2.1132007172940708,0.38100977769515326,3,MediterraneanCoin
MINT,Scrypt,PoS,21293925445.4969,0.0,-0.030438799574126416,0.7617901495499234,-0.2727181346402462,0,MintCoin
MINC,Scrypt,PoW,5804204.88794916,10000000.0,-0.18115920239127684,-1.0197715855062146,-0.027528751164469387,3,MinCoin
MZC,SHA-256,PoW/PoS,1613836099.99999,2419200000.0,-0.2743471968556696,0.815133303082231,-0.4105523703046103,0,MazaCoin
NAUT,Scrypt,PoS,16180000.0,16180000.0,-0.2908856063250237,0.7623004349671069,-0.26468879204788764,0,Nautilus Coin
NAV,X13,PoW/PoS,66087096.2077108,0.0,-0.26331696075809685,1.6347178892262348,-0.6619187893063017,0,NavCoin
NOBL,Scrypt,PoW,2366066305.76482,15000000000.0,-0.04579282048482465,-1.03043133617375,-0.028725033121301986,3,NobleCoin
NMC,SHA-256,PoW,14736400.0,21000000.0,-0.14845335924849043,-1.2494682789644842,0.19614512779334856,3,Namecoin
NYAN,Scrypt,PoW,334709223.483138,337000000.0,-0.17480907064601822,-1.0200109253421625,-0.027659537522838028,3,NyanCoin
OPAL,X13,PoW/PoS,15156364.3306548,0.0,-0.26394064521842225,1.634719138044476,-0.6618995693614679,0,OpalCoin
ORB,NeoScrypt,PoW/PoS,3220616.279225,3770000.0,-0.3352364963404917,0.47466473441206447,-0.35901897868001253,0,Orbitcoin
POT,Scrypt,PoW/PoS,222677226.014206,420000000.0,-0.3381001872376748,1.0462700695854088,-0.6336641019397505,0,PotCoin
PXC,Scrypt,PoW/PoS,73959274.625,98000000.0,-0.34220828373210677,1.046501454929551,-0.6336014154618906,0,PhoenixCoin
RDD,Scrypt,PoW/PoS,29315567169.0888,0.0,0.015180796845202934,1.0458537644068406,-0.6446344464258374,0,Reddcoin
RPC,Scrypt,PoW,1104157.42169891,21000000.0,-0.18113863282972506,-1.0197792501578957,-0.027527201729183028,3,RonPaulCoin
SBC,Scrypt,PoW,24215181.725,250000000.0,-0.17922919836095355,-1.019941780139407,-0.027540591532531713,3,StableCoin
SMC,Scrypt,PoW,25593737.1355044,51200000.0,-0.18062425086534767,-1.01980120999312,-0.027537059109680642,3,SmartCoin
SUPER,X11,PoS,50707661.7493518,0.0,-0.3299602964072285,0.8183305110611161,-0.13377800735130044,0,SuperCoin
SYNC,X11,PoW/PoS,1177.0,1000.0,-0.38319256385482425,1.1025920586650695,-0.5026480231091897,0,SyncCoin
SYS,SHA-256,PoW,563336541.299966,888000000.0,-0.13557766530383977,-1.2500949279043643,0.19592042594566192,3,SysCoin
TES,Multiple,PoS,80260463.7331396,100000000.0,-0.22769252532382966,-0.030064548178635336,0.22670557443014577,0,TeslaCoin
TGC,SHA-256,PoW,43536800.0,47011968.0,-0.14791593269314518,-1.2494873824593178,0.19613372899591852,3,TigerCoin
TIT,PHI1612,PoS,1622326490.46336,2300000000.0,-0.28082966544596283,1.3496995839199843,-0.3849640215029881,0,TittieCoin
TOR,X11,PoW/PoS,1431851.00002479,10000000.0,-0.3831040284626849,1.102584951659081,-0.5026487668441189,0,TorCoin
TRC,SHA-256,PoW,22935396.0,42000000.0,-0.14820380853087226,-1.2494833325330919,0.19614160560642444,3,TerraCoin
